bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,publisher,publish_date
2034,Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes-F.W. Hall-W.M. Geldart,5,198145047,9780198145042,grc,364,0,0,"Oxford University Press, USA","October 5, 1993"
2560,Willem de Kooning: Late Paintings,Julie Sylvester-David Sylvester,5,382960226X,9783829602266,eng,83,1,0,Schirmer/Mosel,"September 30, 2006"
2843,Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature,Tara MacCarthy,5,439271711,9780439271714,eng,32,4,1,Scholastic,January 2002
4287,Middlesex Borough (Images of America: New Jersey),Middlesex Borough Heritage Committee,5,738511676,9780738511672,eng,128,2,0,Arcadia,2003
4874,The Decoration of the Torre de la Parada (Corpus Rubenianum Ludwig Burchard  Part IX) (Corpus Rubenianum Ludwig Burchard),Svetlana Alpers,5,199210152,9780199210152,eng,532,1,0,A Harvey Miller Publication,May 1982
9338,Insights: Talks On The Nature Of Existence,Frederick P. Lenz,5,1932206086,9781932206081,eng,304,1,0,Frederick P. Lenz Foundation for American Bud,January 2003
14741,Zone of the Enders: The 2nd Runner Official Strategy Guide,Tim Bogenn,5,744002354,9780744002355,eng,128,2,0,BradyGames Pub.,2003
17224,The Diamond Color Meditation: Color Path to the Soul,John  Diamond,5,1890995525,9781890995522,eng,74,5,3,Enhancement Books,"April 25, 2006"
18184,The Complete Theory Fun Factory: Music Theory Puzzles and Games for the Early Grades,Ian        Martin-Katie Elliott,5,851621813,9780851621814,eng,96,1,0,Boosey and Hawkes,"June 1, 2004"
20954,Winchester Shotguns,Dennis Adler-R.L. Wilson,5,785821082,9780785821083,eng,372,2,0,Book Sales,"May 30, 2006"
20957,Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary),R. McL. Wilson,5,567044718,9780567044716,eng,512,1,0,T. & T. Clark Publishers,"December 30, 2005"
21248,Lake Orion (Images of America: Michigan),James E. Ingram-Lori Grove,5,738539562,9780738539560,eng,128,0,0,Arcadia  Publishing,"July 19, 2006"
23276,Taxation of Mineral Rents,Ross Garnaut,5,198284543,9780198284543,eng,350,1,0,Clarendon Press,1983
23552,The New Big Book of America,Todd Davis-Marc Frey,5,762412631,9780762412631,eng,56,2,1,Courage Books,2002
25426,Delwau Duon: Peintiadau Nicholas Evans = Symphonies in Black: The Paintings of Nicholas Evans,Nicholas    Evans-Rhonda  Evans,5,862431352,9780862431358,wel,150,1,0,Y Lolfa,1987
26557,Calvin y Hobbes 10: El tiempo está loco,Bill Watterson,5,8440685416,9788440685414,spa,48,4,0,Ediciones B,"January 10, 2000"
32823,Fanning the Flame: Bible  Cross  and Mission,Chris    Green-Chris Wright-Paul Douglas Gardner,5,310249872,9780310249870,eng,336,1,1,Zondervan,"July 1, 2003"
36781,Bubbles in the Middle (The Powerpuff Girls Plus You Club  #16),Aaron Rosenberg-Christopher Cook,5,439332613,9780439332613,eng,64,5,0,Scholastic Inc,2002
36853,Tyrannosaurus Wrecks (Stanley  #1),Laura Driscoll-Alisa Klayman-Grodsky-Eric     Weiner,5,786845031,9780786845033,eng,24,2,1,Disney Press,2003
38804,The Irish Anatomist: A Study of Flann O'Brien,Keith Donohue,5,1930901356,9781930901353,eng,222,1,0,Maunsel,2002
39580,The American Campaign: U.S. Presidential Campaigns and the National Vote,James E. Campbell,5,089096940X,9780890969403,eng,314,0,0,Texas A&M University Press,April 2000
39829,His Princess Devotional: A Royal Encounter With Your King,Sheri Rose Shepherd,5,1590529626,9781590529621,eng,240,3,0,MULTNOMAH PUBLISHING,"Jun 30, 2012"
41639,Bill Gates: Computer Legend (Famous Lives),Sara Barton-Wood,5,739844326,9780739844328,eng,48,0,0,Raintree,September 2001
45155,Ecuador Nature Guide: Southwest Forests:  Sozoranga Forest Project,Chris Jiggins-Pablo Andrade-Eduardo Cueva,5,1551052709,9781551052700,eng,96,1,0,"Lone Pine Publishing,Canada","August 31, 2001"
47113,Lectures d'une oeuvre: The Handmaid's tale de Margaret Atwood,Jean-Paul Gabilliet-François Gallix-Janice Fiamengo-Raphaelle Costa de Beauregard-Priscilla Morin-Ollier,5,2842740394,9782842740399,fre,223,2,0,Du Temps,"August 1, 1998"
15705,Existential Meditation,Simon Cleveland,4.91,1411665309,9781411665309,eng,100,11,3,Lulu.com,"December 22, 2005"
37424,Little Big Book for God's Children,Alice Wong-Lena Tabori,4.88,094180755X,9780941807555,en-US,352,8,0,Welcome Books,2001
1332,Parmenides/Philebus/Symposium/Phaedrus/Alcibiades 1-2/Hipparchus/Amatores (Platonis Opera  #2),Plato-John Burnet-Hipparchus,4.87,198145411,9780198145417,grc,410,15,0,"Oxford University Press, USA","October 5, 1993"
22235,Stargirl LitPlans on CD,Mary B. Collins,4.86,158337292X,9781583372920,eng,210,5,0,Teacher's Pet Publications,"September 15, 2005"
24812,The Complete Calvin and Hobbes,Bill Watterson,4.82,740748475,9780740748479,eng,1456,31249,920,Andrews McMeel Pub.,2005
17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,738209279,9780738209272,en-US,0,20,0,Basic Books,"Jan 03, 2006"
26410,Wissenschaft der Logik: Die Lehre Vom Begriff (1816),Georg Wilhelm Friedrich Hegel,4.8,3787307672,9783787307678,ger,337,0,0,F. Meiner,1994
43853,Builders Of The Adytum: Tarot,Paul Foster Case,4.8,880790911,9780880790918,eng,78,25,2,U.S. Games Systems,June 1990
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,439682584,9780439682589,eng,2690,38872,154,Scholastic Inc.,"October 1, 2004"
24814,It's a Magical World (Calvin and Hobbes #11),Bill Watterson,4.76,836221362,9780836221367,eng,176,23336,294,Andrews McMeel Publishing,"September 1, 1996"
26554,It's A Magical World,Bill Watterson,4.76,751517208,9780751517200,en-GB,176,138,2,Warner Books,1997
2680,Empire 2.0: A Modest Proposal for a United States of the West (Terra Nova),Xavier de C.-Xavier de C.-Joseph Rowe,4.75,1556434952,9781556434952,eng,144,4,0,North Atlantic Books,2004
